시도별 고등교육기관 신입생 충원율(2010-2024),,,,,,,,,,,,,,,,,,
* 출처: 한국교육개발원 교육통계서비스(https://kess.kedi.re.kr),,,,,,,,,,,,,,,,,,
* 조사기준일 : 해당연도 4월 1일,,,,,,,,,,,,,,,,,,
* [대학원 외] 신입생 충원률(%) = (정원내 입학자수) / (정원내 모집인원) ×100,,,,,,,,,,,,,,,,,,
* [대학원] 신입생 충원률(%) = (정원내 입학자 수/입학정원)×100,,,,,,,,,,,,,,,,,,
* 대학원은 모집인원을 조사하지 않아 정원 내 모집인원 대신 입학정원으로 산출(대학원 입학정원은 정원내/외로 구분되지 않음),,,,,,,,,,,,,,,,,,
* 대학원 입학생은 2013년까지 정원 내/외로 구분되지 않아 전체 입학생수를 사용함(2013년 이후 정원내외 구분함).,,,,,,,,,,,,,,,,,,
"* ""고등교육기관 전체""는 일반대학, 전문대학, 대학원 뿐만 아니라 교육대학, 산업대학, 방송통신대학, 기술대학, 각종학교, 원격대학, 사이버대학, 사내대학, 전공대학, 기능대학을 포함함",,,,,,,,,,,,,,,,,,
조사년도,시도,고등교육기관 전체,,,일반대학,,,전문대학,,,대학원,,,,,,,
,,"정원내
모집인원","정원내
입학생수","신입생
충원율","정원내
모집인원","정원내
입학생수","신입생
충원율","정원내
모집인원","정원내
입학생수","신입생
충원율",입학정원,정원내 입학생수,"신입생
충원율",,,,,
2010,서울," 223,230 "," 192,267 ", 86.1 ," 68,266 "," 67,724 ", 99.2 ," 17,078 "," 17,028 ", 99.7 ," 55,474 "," 57,163 ", 103.0 ,,,,,
2010,부산," 57,746 "," 59,049 ", 102.3 ," 33,357 "," 33,341 ", 100.0 ," 14,041 "," 15,614 ", 111.2 ," 8,532 "," 8,751 ", 102.6 ,,,,,
2010,대구," 30,879 "," 30,489 ", 98.7 ," 9,119 "," 9,039 ", 99.1 ," 15,795 "," 15,484 ", 98.0 ," 4,682 "," 4,685 ", 100.1 ,,,,,
2010,인천," 17,579 "," 17,389 ", 98.9 ," 7,311 "," 7,277 ", 99.5 ," 6,616 "," 6,616 ", 100.0 ," 3,285 "," 3,129 ", 95.3 ,,,,,
2010,광주," 29,191 "," 28,582 ", 97.9 ," 14,193 "," 14,083 ", 99.2 ," 9,401 "," 9,001 ", 95.7 ," 5,188 "," 5,090 ", 98.1 ,,,,,
2010,대전," 33,390 "," 33,208 ", 99.5 ," 17,204 "," 17,118 ", 99.5 ," 8,774 "," 8,734 ", 99.5 ," 5,609 "," 5,558 ", 99.1 ,,,,,
2010,울산," 7,840 "," 7,900 ", 100.8 ," 3,769 "," 3,744 ", 99.3 ," 3,025 "," 3,000 ", 99.2 ," 1,046 "," 1,156 ", 110.5 ,,,,,
2010,경기," 118,772 "," 117,767 ", 99.2 ," 39,752 "," 39,377 ", 99.1 ," 61,423 "," 61,647 ", 100.4 ," 12,372 "," 11,943 ", 96.5 ,,,,,
2010,강원," 30,258 "," 28,085 ", 92.8 ," 17,697 "," 17,574 ", 99.3 ," 8,724 "," 6,899 ", 79.1 ," 3,419 "," 3,199 ", 93.6 ,,,,,
2010,충북," 30,544 "," 29,583 ", 96.9 ," 17,373 "," 17,164 ", 98.8 ," 8,308 "," 7,709 ", 92.8 ," 4,296 "," 4,224 ", 98.3 ,,,,,
2010,충남," 50,688 "," 49,805 ", 98.3 ," 30,586 "," 30,099 ", 98.4 ," 9,286 "," 9,218 ", 99.3 ," 5,569 "," 5,339 ", 95.9 ,,,,,
2010,전북," 34,327 "," 31,897 ", 92.9 ," 16,648 "," 16,168 ", 97.1 ," 9,897 "," 8,404 ", 84.9 ," 4,512 "," 4,432 ", 98.2 ,,,,,
2010,전남," 23,117 "," 22,741 ", 98.4 ," 8,514 "," 8,314 ", 97.7 ," 11,180 "," 11,595 ", 103.7 ," 1,877 "," 1,625 ", 86.6 ,,,,,
2010,경북," 57,382 "," 52,617 ", 91.7 ," 28,896 "," 28,443 ", 98.4 ," 19,195 "," 15,840 ", 82.5 ," 5,731 "," 5,445 ", 95.0 ,,,,,
2010,경남," 30,503 "," 31,124 ", 102.0 ," 13,743 "," 13,639 ", 99.2 ," 11,063 "," 11,252 ", 101.7 ," 4,292 "," 4,421 ", 103.0 ,,,,,
2010,제주," 8,154 "," 6,755 ", 82.8 ," 2,617 "," 2,433 ", 93.0 ," 4,676 "," 3,524 ", 75.4 , 861 , 798 , 92.7 ,,,,,
2010,전국," 783,600 "," 739,258 ", 94.3 ," 329,045 "," 325,537 ", 98.9 ," 218,482 "," 211,565 ", 96.8 ," 126,745 "," 126,958 ", 100.2 ,,,,,
2011,서울," 229,560 "," 197,329 ", 86.0 ," 68,147 "," 67,830 ", 99.5 ," 16,820 "," 16,816 ", 100.0 ," 56,068 "," 56,220 ", 100.3 ,,,,,
2011,부산," 60,566 "," 59,956 ", 99.0 ," 33,356 "," 33,367 ", 100.0 ," 16,494 "," 16,244 ", 98.5 ," 8,532 "," 8,373 ", 98.1 ,,,,,
2011,대구," 32,006 "," 31,649 ", 98.9 ," 9,091 "," 9,046 ", 99.5 ," 15,778 "," 15,691 ", 99.4 ," 4,787 "," 4,562 ", 95.3 ,,,,,
2011,인천," 18,863 "," 18,618 ", 98.7 ," 7,398 "," 7,358 ", 99.5 ," 6,616 "," 6,616 ", 100.0 ," 3,353 "," 3,148 ", 93.9 ,,,,,
2011,광주," 30,020 "," 29,368 ", 97.8 ," 14,248 "," 14,223 ", 99.8 ," 9,406 "," 8,948 ", 95.1 ," 5,646 "," 5,479 ", 97.0 ,,,,,
2011,대전," 34,996 "," 36,761 ", 105.0 ," 18,238 "," 18,047 ", 99.0 ," 8,928 "," 8,913 ", 99.8 ," 5,677 "," 7,652 ", 134.8 ,,,,,
2011,울산," 8,337 "," 8,178 ", 98.1 ," 3,647 "," 3,632 ", 99.6 ," 2,999 "," 2,996 ", 99.9 ," 1,301 "," 1,160 ", 89.2 ,,,,,
2011,경기," 119,589 "," 117,479 ", 98.2 ," 39,887 "," 39,700 ", 99.5 ," 61,041 "," 61,049 ", 100.0 ," 12,597 "," 11,603 ", 92.1 ,,,,,
2011,강원," 30,863 "," 28,406 ", 92.0 ," 17,928 "," 17,542 ", 97.8 ," 8,914 "," 7,377 ", 82.8 ," 3,412 "," 2,879 ", 84.4 ,,,,,
2011,충북," 30,492 "," 30,037 ", 98.5 ," 17,314 "," 17,272 ", 99.8 ," 8,008 "," 7,971 ", 99.5 ," 4,314 "," 4,052 ", 93.9 ,,,,,
2011,충남," 51,193 "," 50,765 ", 99.2 ," 30,450 "," 30,131 ", 99.0 ," 9,211 "," 9,171 ", 99.6 ," 5,539 "," 5,621 ", 101.5 ,,,,,
2011,전북," 34,379 "," 32,318 ", 94.0 ," 16,588 "," 16,311 ", 98.3 ," 9,689 "," 8,561 ", 88.4 ," 4,572 "," 4,229 ", 92.5 ,,,,,
2011,전남," 24,188 "," 22,829 ", 94.4 ," 9,043 "," 8,845 ", 97.8 ," 12,324 "," 11,307 ", 91.7 ," 1,756 "," 1,655 ", 94.2 ,,,,,
2011,경북," 57,081 "," 54,166 ", 94.9 ," 28,738 "," 28,741 ", 100.0 ," 18,247 "," 16,411 ", 89.9 ," 5,729 "," 5,192 ", 90.6 ,,,,,
2011,경남," 32,006 "," 31,679 ", 99.0 ," 14,910 "," 14,891 ", 99.9 ," 11,542 "," 11,336 ", 98.2 ," 4,342 "," 4,241 ", 97.7 ,,,,,
2011,제주," 8,100 "," 6,567 ", 81.1 ," 2,603 "," 2,420 ", 93.0 ," 4,636 "," 3,341 ", 72.1 , 861 , 806 , 93.6 ,,,,,
2011,전국," 802,239 "," 756,105 ", 94.2 ," 331,586 "," 329,356 ", 99.3 ," 220,653 "," 212,748 ", 96.4 ," 128,486 "," 126,872 ", 98.7 ,,,,,
2012,서울," 234,297 "," 196,549 ", 83.9 ," 72,999 "," 72,759 ", 99.7 ," 16,526 "," 16,526 ", 100.0 ," 56,329 "," 56,308 ", 100.0 ,,,,,
2012,부산," 59,529 "," 58,821 ", 98.8 ," 33,098 "," 33,117 ", 100.1 ," 15,762 "," 15,355 ", 97.4 ," 8,507 "," 8,406 ", 98.8 ,,,,,
2012,대구," 31,719 "," 31,246 ", 98.5 ," 9,067 "," 9,025 ", 99.5 ," 15,459 "," 15,296 ", 98.9 ," 4,795 "," 4,529 ", 94.5 ,,,,,
2012,인천," 17,958 "," 17,614 ", 98.1 ," 6,571 "," 6,549 ", 99.7 ," 6,541 "," 6,541 ", 100.0 ," 3,368 "," 3,046 ", 90.4 ,,,,,
2012,광주," 28,417 "," 28,070 ", 98.8 ," 15,061 "," 14,971 ", 99.4 ," 7,029 "," 6,894 ", 98.1 ," 5,639 "," 5,518 ", 97.9 ,,,,,
2012,대전," 36,992 "," 36,785 ", 99.4 ," 19,836 "," 19,602 ", 98.8 ," 8,782 "," 8,695 ", 99.0 ," 7,004 "," 7,545 ", 107.7 ,,,,,
2012,울산," 8,478 "," 8,225 ", 97.0 ," 3,606 "," 3,604 ", 99.9 ," 2,979 "," 2,966 ", 99.6 ," 1,453 "," 1,215 ", 83.6 ,,,,,
2012,경기," 116,554 "," 114,522 ", 98.3 ," 40,582 "," 40,380 ", 99.5 ," 60,142 "," 60,132 ", 100.0 ," 12,610 "," 11,656 ", 92.4 ,,,,,
2012,강원," 30,079 "," 27,472 ", 91.3 ," 17,461 "," 17,257 ", 98.8 ," 8,714 "," 6,852 ", 78.6 ," 3,342 "," 2,801 ", 83.8 ,,,,,
2012,충북," 30,872 "," 29,879 ", 96.8 ," 17,829 "," 17,549 ", 98.4 ," 7,937 "," 7,614 ", 95.9 ," 4,264 "," 4,027 ", 94.4 ,,,,,
2012,충남," 50,662 "," 49,912 ", 98.5 ," 32,671 "," 32,509 ", 99.5 ," 8,985 "," 8,874 ", 98.8 ," 5,562 "," 5,414 ", 97.3 ,,,,,
2012,전북," 32,692 "," 31,021 ", 94.9 ," 16,005 "," 15,921 ", 99.5 ," 8,694 "," 7,858 ", 90.4 ," 4,500 "," 4,323 ", 96.1 ,,,,,
2012,전남," 21,763 "," 20,669 ", 95.0 ," 9,635 "," 9,461 ", 98.2 ," 10,395 "," 9,681 ", 93.1 ," 1,578 "," 1,372 ", 86.9 ,,,,,
2012,경북," 55,422 "," 51,664 ", 93.2 ," 29,689 "," 29,139 ", 98.1 ," 16,982 "," 15,111 ", 89.0 ," 5,781 "," 5,218 ", 90.3 ,,,,,
2012,경남," 31,457 "," 30,480 ", 96.9 ," 14,770 "," 14,654 ", 99.2 ," 11,405 "," 10,697 ", 93.8 ," 4,132 "," 3,939 ", 95.3 ,,,,,
